kitty-shell-integration (0.25.0-2)
kitty (0.25.0-2)
hunspell (1.7.0-3)
xcb-util-keysyms (0.4.0-3)
xcb-util-renderutil (0.3.9-3)
xcb-util (0.4.0-3)
xcb-util-image (0.4.0-3)
xcb-util-cursor (0.1.3-3)
which (2.21-5)
file (5.41-1)
libxt (1.2.1-1)
libxmu (1.1.3-2)
xorg-xset (1.2.4-2)
xorg-xprop (1.2.5-1)
xdg-utils (1.1.3+19+g9816ebb-1)
shared-mime-info (2.0+144+g13695c7-1)
xcb-util-wm (0.4.1-3)
vulkan-headers (1:1.3.213-1)
tslib (1.22-1)
mtdev (1.1.6-1)
libevdev (1.12.1-1)
libgudev (237-2)
libwacom (2.2.0-1)
libinput (1.20.1-1)
libproxy (0.4.17-6)
avahi (0.8+22+gfd482a7-3)
libusb (1.0.26-1)
libcups (1:2.4.1-1)
double-conversion (3.2.0-1)
libb2 (0.98.1-2)
md4c (0.4.8-1)
qt6-translations (6.3.0-1)
qt6-base (6.3.0-3)
qt6-svg (6.3.0-1)
featherpad (1.2.0-2)
ranger (1.9.3-4)
gawk (5.1.1-1)
m4 (1.4.19-1)
autoconf (2.71-1)
automake (1.16.5-1)
binutils (2.38-5)
gettext (0.21-2)
bison (3.8.2-4)
sed (4.8-1)
fakeroot (1.28-1)
flex (2.6.4-3)
gcc (12.1.0-1)
grep (3.7-1)
groff (1.22.4-7)
gzip (1.12-1)
libtool (2.4.7-2)
texinfo (6.8-2)
make (4.3-3)
pacman (6.0.1-5)
patch (2.7.6-8)
pkgconf (1.8.0-1)
sudo (1.9.10-1)
atk (2.38.0-1)
libdatrie (0.2.13-1)
libthai (0.1.29-1)
lzo (2.10-3)
pixman (0.40.0-1)
cairo (1.17.6-2)
libxft (2.3.4-1)
fribidi (1.0.12-1)
pango (1:1.50.7-1)
libxinerama (1.1.4-3)
libxcomposite (0.4.5-3)
gdk-pixbuf2 (2.42.8-1)
librsvg (2:2.54.3-1)
gtk-update-icon-cache (1:4.6.4-1)
desktop-file-utils (0.26-2)
gtk2 (2.24.33-2)
libfm-extra (1.3.2-1)
menu-cache (1.1.0-3)
libexif (0.6.24-1)
libfm (1.3.2-1)
libfm-gtk2 (1.3.2-1)
lxmenu-data (0.1.5-3)
pcmanfm (1.3.2-1)
libepoxy (1.5.10-1)
xorg-fonts-encodings (1.0.5-2)
libfontenc (1.1.4-3)
libxfont2 (2.0.5-1)
libxkbfile (1.1.0-2)
xorg-xkbcomp (1.4.5-1)
xorg-xrandr (1.5.1-2)
xorg-setxkbmap (1.3.3-1)
xorg-server-common (21.1.3-6)
xf86-input-libinput (1.2.1-1)
libxcvt (0.1.1-1)
mesa (22.0.3-1)
xorg-server (21.1.3-6)
xorg-xauth (1.1.2-1)
xorg-xrdb (1.2.1-1)
xorg-xmodmap (1.0.10-2)
xorg-xinit (1.4.1-3)
libva (2.14.0-1)
libva-intel-driver (2.4.1-2)
intel-gmmlib (22.1.2-1)
intel-media-driver (22.4.1-1)
vulkan-intel (22.0.3-1)
libxpm (3.5.13-2)
libxaw (1.0.14-1)
luit (20220111-1)
xbitmaps (1.1.2-2)
libutempter (1.2.1-1)
xterm (372-1)
rxvt-unicode-terminfo (9.26-2)
startup-notification (0.12-7)
rxvt-unicode (9.26-2)
rxvt-unicode-terminfo (9.26-2)
perl-error (0.17029-3)
perl-timedate (2.33-3)
perl-mailtools (2.21-5)
git (2.36.1-1)
python (3.10.4-1)
dconf (0.40.0-1)
at-spi2-core (2.44.1-1)
at-spi2-atk (2.38.0-1)
adwaita-icon-theme (42.0+r1+gc144c3d75-1)
json-glib (1.6.6-2)
cantarell-fonts (1:0.303.1-1)
libcolord (1.4.6-1)
adobe-source-code-pro-fonts (2.038ro+1.058it+1.018var-1)
gsettings-desktop-schemas (42.0-1)
glib-networking (1:2.72.0-1)
libsoup (2.74.2-2)
rest (0.8.1+r4+ge5ee6ef-1)
iso-codes (4.9.0-1)
libcloudproviders (0.3.1-2)
libstemmer (2.2.0-2)
libsoup3 (3.0.6-1)
tracker3 (3.3.0-2)
gtk3 (1:3.24.33+r28+g01edbfb976-1)
mailcap (2.1.53-1)
dbus-glib (0.112-2)
alsa-topology-conf (1.2.5.1-1)
alsa-ucm-conf (1.2.6.3-1)
alsa-lib (1.2.6.1-1)
aom (3.3.0-1)
gsm (1.0.19-1)
libsamplerate (0.2.2-1)
jack2 (1.9.21-1)
lame (3.100-3)
libass (0.15.2-2)
libraw1394 (2.1.2-3)
libavc1394 (0.5.4-4)
libbluray (1.3.0-2)
dav1d (1.0.0-1)
libiec61883 (1.2.0-6)
libmfx (22.3.0-1)
libmodplug (0.8.9.0-3)
rav1e (0.4.1-2)
libssh (0.9.6-1)
libtheora (1.1.1-5)
libvdpau (1.5-1)
vid.stab (1.1-3)
libvpx (1.11.0-2)
giflib (5.2.1-2)
libwebp (1.2.2-1)
l-smash (2.14.5-2)
x264 (3:0.164.r3081.19856cc-2)
x265 (3.5-3)
libxv (1.0.11-4)
xvidcore (1.3.7-2)
zimg (3.0.3-2)
opencore-amr (0.1.5-5)
openjpeg2 (2.5.0-1)
libibus (1.5.26-2)
hidapi (0.11.2-1)
sdl2 (2.0.22-1)
srt (1.4.4-1)
svt-av1 (0.9.0-2)
sysfsutils (2.1.1-1)
v4l-utils (1.22.1-1)
vmaf (2.3.1-1)
ffmpeg (2:5.0-7)
gnu-free-fonts (20120503-8)
firefox (100.0-1)
botan (2.19.1-1)
libevent (2.1.12-1)
thunderbird (91.9.0-1)
p7zip (1:17.04-3)
tar (1.34-1)
xxhash (0.8.1-2)
rsync (3.2.4-1)
hspell (1.4-4)
aspell (0.60.8-2)
sudo (1.9.10-1)
